model_type,params,f1_score
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '50', 'epsilon': '0.0001'}",66.2
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.00001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '100', 'epsilon': '0.0001'}",67.7
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.00001'}",67.3
CRF,"{'algorithm': 'lbfgs', 'feature.minfreq': '7', 'c1': '0.2', 'c2': '0.5', 'max_iterations': '200', 'epsilon': '0.0001'}",67.3
CRF,"{'algorithm': 'l2sgd', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '50'}",71.8
CRF,"{'algorithm': 'l2sgd', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '100'}",70.7
CRF,"{'algorithm': 'l2sgd', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.1', 'max_iterations': '200'}",70.7
CRF,"{'algorithm': 'l2sgd', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '50'}",71.0
CRF,"{'algorithm': 'l2sgd', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '100'}",70.6
CRF,"{'algorithm': 'l2sgd', 'feature.minfreq': '3', 'c1': '0.05', 'c2': '0.3', 'max_iterations': '200'}",70.6
